Index;SongName;Artist;Genre;Popularity;Danceability;Energy;Valence;Var9;Var10
1186;Qué Maldición;Banda MS de Sergio Lizárraga, Snoop Dogg;['banda', 'corrido', 'norteno', 'regional mexican'];69;0.755;0.531;0.683;2;0
1187;Nicht verdient;Capital Bra, Loredana;['german hip hop'];58;0.719;0.65;0.488;1;0
1188;A Tu Merced;Bad Bunny;['latin', 'reggaeton', 'trap latino'];82;0.86;0.791;0.887;2;0
1189;Demons (feat. Fivio Foreign & Sosa Geek);Drake;['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap'];63;0.543;0.766;0.729;2;0
1190;Moral of the Story;Ashe;['alt z', 'electropop', 'indie pop', 'pop', 'post-teen pop'];75;0.572;0.406;0.265;1;0
1191;Can I;Kehlani;['dance pop', 'pop', 'pop rap', 'post-teen pop', 'r&b'];68;0.574;0.791;0.612;2;0
1192;STARGAZING;Travis Scott;['rap', 'slap house'];76;0.487;0.789;0.564;2;0
1193;Eastside (with Halsey & Khalid);benny blanco;['electropop', 'pop', 'pop rap'];77;0.56;0.68;0.319;1;0
1194;Suicidal;YNW Melly;['melodic rap', 'trap'];76;0.655;0.441;0.273;1;0
1195;How Do You Sleep?;Sam Smith;['dance pop', 'pop', 'post-teen pop', 'uk pop'];76;0.477;0.682;0.345;1;0
1196;No Time To Die;Billie Eilish;['electropop', 'pop'];75;0.38;0.219;0.517;1;0
1197;D4L;Future, Drake, Young Thug;['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap'];63;0.718;0.706;0.815;2;0
1198;Time Flies;Drake;['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap'];71;0.864;0.477;0.5;1;0
1199;Desires (with Future);Drake;['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap'];64;0.812;0.506;0.554;1;0
1200;Not You Too (feat. Chris Brown);Drake;['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap'];64;0.458;0.452;0.316;1;0
1201;Landed;Drake;['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap'];60;0.881;0.636;0.715;2;0
1202;When To Say When;Drake;['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap'];60;0.41;0.82;0.526;2;0
1203;Deep Pockets;Drake;['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap'];58;0.473;0.824;0.374;1;0
1204;War;Drake;['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap'];64;0.749;0.792;0.239;1;0
1205;From Florida With Love;Drake;['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap'];64;0.787;0.477;0.476;1;0
1206;Losses;Drake;['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap'];57;0.551;0.57;0.505;1;0
1207;Turks (feat. Travis Scott);NAV, Gunna;['canadian hip hop', 'canadian trap', 'hip hop', 'melodic rap', 'pop rap', 'rap', 'toronto rap', 'trap'];70;0.893;0.618;0.389;1;0
1208;Boyfriend;Selena Gomez;['dance pop', 'pop', 'post-teen pop'];62;0.811;0.512;0.346;1;0
1209;What If I Told You That I Love You;Ali Gatie;['canadian hip hop', 'pop'];69;0.596;0.366;0.229;1;0
1210;Emotions;Ufo361;['german cloud rap', 'german hip hop'];65;0.788;0.491;0.271;1;0
1211;FIND MY WAY;DaBaby;['north carolina hip hop', 'rap'];66;0.836;0.624;0.7;2;0
1212;Keii;Anuel AA;['latin', 'reggaeton', 'reggaeton flow', 'trap boricua', 'trap latino'];67;0.708;0.797;0.51;2;0
1213;God's Plan;Drake;['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap'];82;0.754;0.449;0.357;1;0
1214;Por Primera Vez;Camilo, Evaluna Montaner;['colombian pop', 'reggaeton colombiano'];70;0.716;0.588;0.707;2;0
1216;Broke In A Minute;Tory Lanez;['canadian hip hop', 'canadian trap', 'melodic rap', 'pop rap', 'r&b', 'rap', 'toronto rap', 'trap'];75;0.929;0.7;0.802;2;0
1217;Fantasias - Remix;Rauw Alejandro, Anuel AA, Natti Natasha, Farruko, Lunay;['puerto rican pop', 'trap latino'];70;0.816;0.72;0.78;2;0
1218;SUGAR;BROCKHAMPTON;['boy band', 'hip hop', 'rap'];75;0.453;0.538;0.516;1;0
1219;90-60-111;Shirin David;['frauenrap', 'german hip hop', 'german pop'];64;0.8;0.628;0.745;2;0
1220;YOSEMITE;Travis Scott;['rap', 'slap house'];75;0.785;0.554;0.144;1;0
1221;Houdini (feat. Swarmz & Tion Wayne);KSI;['uk hip hop'];58;0.572;0.519;0.704;2;0
1222;Sasuke;Lil Uzi Vert;['melodic rap', 'philly rap', 'rap', 'trap'];56;0.859;0.477;0.153;1;0
1223;Me Gusta;Shakira, Anuel AA;['colombian pop', 'dance pop', 'latin', 'latin pop', 'pop'];72;0.775;0.696;0.775;2;0
1224;If You’re Too Shy (Let Me Know) - Edit;The 1975;['modern alternative rock', 'modern rock', 'pop', 'rock'];59;0.651;0.806;0.386;1;0
1225;Alone, Pt. II;Alan Walker, Ava Max;['electro house'];77;0.67;0.668;0.608;2;0
1226;Tutu;Camilo, Pedro Capó;['colombian pop', 'reggaeton colombiano'];74;0.731;0.832;0.94;2;0
1227;Hate Me (with Juice WRLD);Ellie Goulding;['dance pop', 'edm', 'electropop', 'indietronica', 'metropopolis', 'pop', 'post-teen pop', 'uk pop'];76;0.657;0.768;0.759;2;0
1228;Still Be Friends (feat. Tory Lanez & Tyga);G-Eazy;['hip hop', 'indie pop rap', 'oakland hip hop', 'pop rap', 'rap'];76;0.803;0.759;0.284;1;0
1229;Blanco;J Balvin;['latin', 'reggaeton', 'reggaeton colombiano'];66;0.87;0.706;0.593;2;0
1230;PICK UP (feat. Quavo);DaBaby;['north carolina hip hop', 'rap'];65;0.915;0.612;0.758;2;0
1231;JUMP (feat. YoungBoy Never Broke Again);DaBaby;['north carolina hip hop', 'rap'];62;0.896;0.72;0.966;2;0
1232;LIGHTSKIN SH*T (feat. Future & jetsonmade);DaBaby;['north carolina hip hop', 'rap'];56;0.932;0.578;0.623;2;0
1233;That Way - Bonus Track;Lil Uzi Vert;['melodic rap', 'philly rap', 'rap', 'trap'];67;0.712;0.598;0.504;1;0
1234;No Me Ame;Rvssian, Anuel AA, Juice WRLD;['latin', 'latin hip hop', 'reggaeton', 'reggaeton flow', 'trap latino'];64;0.68;0.766;0.28;1;0
1235;I'll Wait;Kygo, Sasha Alex Sloan;['edm', 'pop', 'pop dance', 'tropical house'];70;0.611;0.651;0.351;1;0
1236;Oprah’s Bank Account (Lil Yachty & DaBaby feat. Drake);Lil Yachty;['atl hip hop', 'hip hop', 'melodic rap', 'rap', 'trap', 'underground hip hop', 'viral rap'];69;0.836;0.617;0.866;2;0
1237;BLAME IT ON BABY;DaBaby;['north carolina hip hop', 'rap'];57;0.875;0.687;0.864;2;0
1238;Follow;KAROL G, Anuel AA;['latin', 'reggaeton', 'reggaeton colombiano'];63;0.735;0.787;0.455;1;0
1239;3 Nights;Dominic Fike;['alternative pop rock', 'pop'];77;0.815;0.518;0.877;2;0
1240;The Take (feat. Chris Brown);Tory Lanez;['canadian hip hop', 'canadian trap', 'melodic rap', 'pop rap', 'r&b', 'rap', 'toronto rap', 'trap'];73;0.464;0.547;0.423;1;0
1241;Stupid Again;Tory Lanez;['canadian hip hop', 'canadian trap', 'melodic rap', 'pop rap', 'r&b', 'rap', 'toronto rap', 'trap'];66;0.775;0.823;0.65;2;0
1242;Shotz Fired;Bonez MC;['german hip hop', 'hamburg hip hop'];59;0.839;0.594;0.58;2;0
1243;BaeBae;Samra;['german hip hop'];57;0.628;0.712;0.45;1;0
1244;To Die For;Sam Smith;['dance pop', 'pop', 'post-teen pop', 'uk pop'];70;0.483;0.361;0.307;1;0
1245;WANNABE;ITZY;['k-pop girl group'];75;0.809;0.911;0.64;2;0
1246;Takeaway;The Chainsmokers, ILLENIUM, Lennon Stella;['dance pop', 'edm', 'electropop', 'pop', 'pop dance', 'tropical house'];77;0.528;0.511;0.351;1;0
1247;Heart On Ice;Rod Wave;['florida rap'];70;0.733;0.389;0.244;1;0
1248;La Cama - Remix;Lunay, Myke Towers, Ozuna, Chencho Corleone, Rauw Alejandro;['latin', 'latin pop', 'reggaeton', 'reggaeton flow', 'trap latino'];69;0.737;0.832;0.865;2;0
1249;Go Stupid (feat. NLE Choppa & Mike WiLL Made-It);Polo G, Stunna 4 Vegas;['chicago rap'];41;0.922;0.813;0.724;2;0
1250;Cradles;Sub Urban;['modern indie pop'];73;0.534;0.589;0.632;2;0
1251;Good as Hell (feat. Ariana Grande);Lizzo;['dance pop', 'escape room', 'minnesota hip hop', 'pop', 'pop rap', 'post-teen pop', 'trap queen'];71;0.668;0.892;0.478;2;0
1252;Forever (feat. Post Malone & Clever);Justin Bieber;['canadian pop', 'pop', 'post-teen pop'];68;0.825;0.483;0.892;2;0
1253;I Love Me;Demi Lovato;['dance pop', 'pop', 'post-teen pop'];67;0.664;0.561;0.713;2;0
1254;Old Me;5 Seconds of Summer;['boy band', 'dance pop', 'electropop', 'pop', 'post-teen pop'];67;0.722;0.62;0.474;1;0
1255;Pero Ya No;Bad Bunny;['latin', 'reggaeton', 'trap latino'];72;0.882;0.612;0.742;2;0
1256;Hardest To Love;The Weeknd;['canadian contemporary r&b', 'canadian pop', 'pop'];67;0.467;0.608;0.108;1;0
1258;Woah;Lil Baby;['atl hip hop', 'atl trap', 'rap', 'trap'];69;0.882;0.602;0.43;1;0
1259;Pretty Please;Dua Lipa;['dance pop', 'pop', 'uk pop'];67;0.906;0.474;0.656;2;0
1260;I.F.L.Y.;Bazzi;['dance pop', 'electropop', 'pop', 'post-teen pop'];76;0.812;0.519;0.554;1;0
1261;Cool;Dua Lipa;['dance pop', 'pop', 'uk pop'];65;0.469;0.785;0.79;2;0
1262;Future Nostalgia;Dua Lipa;['dance pop', 'pop', 'uk pop'];65;0.875;0.813;0.859;2;0
1263;Good In Bed;Dua Lipa;['dance pop', 'pop', 'uk pop'];64;0.68;0.701;0.649;2;0
1264;Scared To Live;The Weeknd;['canadian contemporary r&b', 'canadian pop', 'pop'];66;0.504;0.498;0.196;1;0
1265;Alone Again;The Weeknd;['canadian contemporary r&b', 'canadian pop', 'pop'];66;0.218;0.652;0.599;2;0
1266;Boys Will Be Boys;Dua Lipa;['dance pop', 'pop', 'uk pop'];63;0.768;0.486;0.519;1;0
1267;Auto Blu;Shiva, Eiffel 65;['italian hip hop', 'trap italiana'];56;0.82;0.783;0.653;2;0
1268;Du bist mein;Zuna, Loredana, SRNO;['albanian hip hop', 'german hip hop'];54;0.761;0.556;0.521;1;0
1269;Too Late;The Weeknd;['canadian contemporary r&b', 'canadian pop', 'pop'];67;0.638;0.863;0.226;1;0
1270;Wildflower;5 Seconds of Summer;['boy band', 'dance pop', 'electropop', 'pop', 'post-teen pop'];65;0.644;0.768;0.598;2;0
1271;Faith;The Weeknd;['canadian contemporary r&b', 'canadian pop', 'pop'];67;0.375;0.605;0.128;1;0
1272;Snowchild;The Weeknd;['canadian contemporary r&b', 'canadian pop', 'pop'];66;0.55;0.611;0.243;1;0
1273;Escape From LA;The Weeknd;['canadian contemporary r&b', 'canadian pop', 'pop'];67;0.404;0.524;0.168;1;0
1274;Allein sein;Ufo361;['german cloud rap', 'german hip hop'];54;0.774;0.588;0.392;1;0
1275;Bichiyal;Bad Bunny, Yaviah;['latin', 'reggaeton', 'trap latino'];75;0.737;0.766;0.662;2;0
1276;Medusa;Jhay Cortez, Anuel AA, J Balvin;['latin', 'reggaeton', 'trap latino'];70;0.886;0.604;0.383;1;0
1277;Break Up Song;Little Mix;['dance pop', 'girl group', 'pop', 'post-teen pop', 'talent show', 'uk pop'];65;0.631;0.75;0.593;2;0
1278;Teeth;5 Seconds of Summer;['boy band', 'dance pop', 'electropop', 'pop', 'post-teen pop'];78;0.749;0.461;0.42;1;0
1279;Repeat After Me (Interlude);The Weeknd;['canadian contemporary r&b', 'canadian pop', 'pop'];63;0.555;0.619;0.141;1;0
1280;Until I Bleed Out;The Weeknd;['canadian contemporary r&b', 'canadian pop', 'pop'];63;0.245;0.394;0.148;1;0
1281;Rosa;J Balvin;['latin', 'reggaeton', 'reggaeton colombiano'];64;0.651;0.561;0.369;1;0
1282;Gris;J Balvin;['latin', 'reggaeton', 'reggaeton colombiano'];65;0.849;0.709;0.916;2;0
1283;Negro;J Balvin;['latin', 'reggaeton', 'reggaeton colombiano'];67;0.795;0.911;0.8;2;0
1285;Baby Pluto;Lil Uzi Vert;['melodic rap', 'philly rap', 'rap', 'trap'];69;0.772;0.634;0.671;2;0
1287;No Judgement;Niall Horan;['dance pop', 'pop', 'post-teen pop'];65;0.723;0.726;0.962;2;0
1289;Arcoíris;J Balvin, Mr Eazi;['latin', 'reggaeton', 'reggaeton colombiano'];62;0.731;0.787;0.393;1;0
1291;Feel Me;Selena Gomez;['dance pop', 'pop', 'post-teen pop'];63;0.71;0.808;0.392;1;0
1292;H <3 T E L;Dardan, Monet192;['albanian hip hop', 'german hip hop'];34;0.726;0.646;0.58;2;0
1293;25-ago;Bad Bunny;['latin', 'reggaeton', 'trap latino'];71;0.761;0.732;0.542;2;0
1294;Se Me Olvidó;Christian Nodal;['mariachi', 'nuevo regional mexicano', 'ranchera', 'regional mexican'];71;0.65;0.558;0.725;2;0
1295;B.S. (feat. H.E.R.);Jhené Aiko;['alternative r&b', 'dance pop', 'pop', 'pop rap', 'r&b', 'urban contemporary'];72;0.617;0.525;0.377;1;0
1296;Soliá;Bad Bunny;['latin', 'reggaeton', 'trap latino'];72;0.71;0.81;0.184;1;0
1297;Está Cabrón Ser Yo;Bad Bunny, Anuel AA;['latin', 'reggaeton', 'trap latino'];69;0.81;0.854;0.879;2;0
1298;Bean (Kobe) [feat. Chief Keef];Lil Uzi Vert;['melodic rap', 'philly rap', 'rap', 'trap'];67;0.733;0.567;0.319;1;0
1299;Yessirskiii;Lil Uzi Vert, 21 Savage;['melodic rap', 'philly rap', 'rap', 'trap'];70;0.895;0.739;0.763;2;0
1300;Cardigan;Don Toliver;['rap', 'trap'];70;0.747;0.497;0.663;2;0
1301;Silly Watch;Lil Uzi Vert;['melodic rap', 'philly rap', 'rap', 'trap'];65;0.903;0.535;0.157;1;0
1302;Hablamos Mañana;Bad Bunny, Duki, Pablo Chill-E;['latin', 'reggaeton', 'trap latino'];69;0.683;0.677;0.514;1;0
1303;Lotus;Lil Uzi Vert;['melodic rap', 'philly rap', 'rap', 'trap'];58;0.802;0.748;0.516;2;0
1304;Lettre à une femme;Ninho;['french hip hop', 'pop urbaine', 'rap francais'];54;0.487;0.398;0.905;2;0
1305;Que Malo;Bad Bunny, Ñengo Flow;['latin', 'reggaeton', 'trap latino'];69;0.802;0.787;0.446;1;0
1306;Leaders (feat. NAV);Lil Uzi Vert;['melodic rap', 'philly rap', 'rap', 'trap'];60;0.95;0.654;0.886;2;0
1307;Strawberry Peels (feat. Young Thug & Gunna);Lil Uzi Vert;['melodic rap', 'philly rap', 'rap', 'trap'];59;0.862;0.65;0.658;2;0
1308;La Zona;Bad Bunny;['latin', 'reggaeton', 'trap latino'];69;0.762;0.801;0.81;2;0
1309;Wassup (feat. Future);Lil Uzi Vert;['melodic rap', 'philly rap', 'rap', 'trap'];57;0.762;0.622;0.626;2;0
1310;Una Vez;Bad Bunny, Mora;['latin', 'reggaeton', 'trap latino'];77;0.55;0.598;0.543;1;0
1311;Moon Relate;Lil Uzi Vert;['melodic rap', 'philly rap', 'rap', 'trap'];58;0.867;0.768;0.34;1;0
1312;Black And White;Niall Horan;['dance pop', 'pop', 'post-teen pop'];75;0.443;0.582;0.239;1;0
1314;Whine Up;Nicky Jam, Anuel AA;['latin', 'latin hip hop', 'reggaeton', 'trap latino'];70;0.817;0.665;0.662;2;0
1316;Trap This Way (This Way);Lil Uzi Vert;['melodic rap', 'philly rap', 'rap', 'trap'];59;0.71;0.586;0.207;1;0
1317;Who (feat. BTS);Lauv;['dance pop', 'electropop', 'pop', 'post-teen pop'];74;0.632;0.345;0.818;2;0
1318;Homecoming;Lil Uzi Vert;['melodic rap', 'philly rap', 'rap', 'trap'];63;0.929;0.563;0.353;1;0
1319;Got The Guap (feat. Young Thug);Lil Uzi Vert;['melodic rap', 'philly rap', 'rap', 'trap'];58;0.837;0.601;0.749;2;0
1320;Prices;Lil Uzi Vert;['melodic rap', 'philly rap', 'rap', 'trap'];65;0.786;0.683;0.57;2;0
1321;I Can Show You;Lil Uzi Vert;['melodic rap', 'philly rap', 'rap', 'trap'];57;0.817;0.656;0.314;1;0
1322;I'm Sorry;Lil Uzi Vert;['melodic rap', 'philly rap', 'rap', 'trap'];60;0.858;0.547;0.303;1;0
1323;Black Swan;BTS;['k-pop', 'k-pop boy group'];70;0.719;0.758;0.49;2;0
1325;Adicto (with Anuel AA & Ozuna);Tainy;['latin', 'latin hip hop', 'latin pop', 'pop reggaeton', 'reggaeton', 'reggaeton flow', 'trap latino'];75;0.734;0.836;0.623;2;0
1326;<3;Bad Bunny;['latin', 'reggaeton', 'trap latino'];69;0.631;0.665;0.634;2;0
1327;Bad Girls, Good Vibes;Ufo361;['german cloud rap', 'german hip hop'];53;0.826;0.368;0.158;1;0
1328;Liberdade Provisória - Ao Vivo;Henrique & Juliano;['sertanejo pop', 'sertanejo universitario'];58;0.668;0.684;0.7;2;0
1329;POP;Lil Uzi Vert;['melodic rap', 'philly rap', 'rap', 'trap'];58;0.741;0.599;0.276;1;0
1330;Celebration Station;Lil Uzi Vert;['melodic rap', 'philly rap', 'rap', 'trap'];61;0.748;0.771;0.792;2;0
1331;Bigger Than Life;Lil Uzi Vert;['melodic rap', 'philly rap', 'rap', 'trap'];62;0.776;0.752;0.716;2;0
1332;Venetia;Lil Uzi Vert;['melodic rap', 'philly rap', 'rap', 'trap'];63;0.775;0.757;0.562;2;0
1333;You Better Move;Lil Uzi Vert;['melodic rap', 'philly rap', 'rap', 'trap'];60;0.842;0.556;0.306;1;0
1334;Chrome Heart Tags;Lil Uzi Vert;['melodic rap', 'philly rap', 'rap', 'trap'];57;0.702;0.768;0.574;2;0
1335;Bust Me;Lil Uzi Vert;['melodic rap', 'philly rap', 'rap', 'trap'];57;0.734;0.703;0.608;2;0
1336;René;Residente;['venezuelan hip hop'];65;0.486;0.388;0.467;1;0
1337;Secure The Bag;Lil Uzi Vert;['melodic rap', 'philly rap', 'rap', 'trap'];57;0.803;0.719;0.549;2;0
1338;Urgency (feat. Syd);Lil Uzi Vert;['melodic rap', 'philly rap', 'rap', 'trap'];53;0.619;0.784;0.471;1;0
1339;ON (Feat. Sia);BTS;['k-pop', 'k-pop boy group'];64;0.591;0.848;0.386;1;0
1340;P FKN R;Bad Bunny, Kendo Kaponi, Arcangel;['latin', 'reggaeton', 'trap latino'];66;0.82;0.635;0.528;1;0
1341;Modern Loneliness;Lauv;['dance pop', 'electropop', 'pop', 'post-teen pop'];68;0.702;0.508;0.143;1;0
1342;Heatin Up (feat. Gunna);Lil Baby;['atl hip hop', 'atl trap', 'rap', 'trap'];66;0.788;0.436;0.341;1;0
1343;SKYBOX;Gunna;['atl hip hop', 'hip hop', 'melodic rap', 'rap', 'trap'];59;0.779;0.707;0.343;1;0
1344;Young & Alive;Bazzi;['dance pop', 'electropop', 'pop', 'post-teen pop'];71;0.716;0.563;0.495;1;0
1345;i'm so tired...;Lauv, Troye Sivan;['dance pop', 'electropop', 'pop', 'post-teen pop'];77;0.599;0.733;0.534;2;0
1346;Numbers (feat. Roddy Ricch, Gunna and London On Da Track);A Boogie Wit da Hoodie;['melodic rap', 'pop rap', 'rap', 'trap'];68;0.819;0.654;0.455;1;0
1347;Girl;Myke Towers;['trap latino'];72;0.733;0.708;0.694;2;0
1348;Puesto Pa' Guerrial;Bad Bunny, Myke Towers;['latin', 'reggaeton', 'trap latino'];64;0.867;0.686;0.658;2;0
1349;Definitivamente;Daddy Yankee, Sech;['latin', 'latin hip hop', 'reggaeton', 'trap latino'];66;0.813;0.764;0.429;1;0
1350;South of the Border (feat. Camila Cabello & Cardi B);Ed Sheeran;['pop', 'uk pop'];77;0.857;0.621;0.668;2;0
1351;I Fall Apart;Post Malone;['dfw rap', 'melodic rap', 'rap'];80;0.556;0.538;0.291;1;0
1352;fuck, i'm lonely (with Anne-Marie);Lauv;['dance pop', 'electropop', 'pop', 'post-teen pop'];74;0.806;0.558;0.678;2;0
1353;Aventura;Lunay, Ozuna, Anuel AA;['latin', 'latin pop', 'reggaeton', 'reggaeton flow', 'trap latino'];68;0.729;0.726;0.876;2;0
1354;Rare;Selena Gomez;['dance pop', 'pop', 'post-teen pop'];68;0.838;0.545;0.631;2;0
1355;VIBEZ;DaBaby;['north carolina hip hop', 'rap'];75;0.768;0.652;0.777;2;0
1356;Mean It;Lauv, LANY;['dance pop', 'electropop', 'pop', 'post-teen pop'];72;0.746;0.45;0.336;1;0
1357;That Way;Lil Uzi Vert;['melodic rap', 'philly rap', 'rap', 'trap'];67;0.719;0.611;0.489;1;0
1358;Live Off My Closet (feat. Future);Lil Baby;['atl hip hop', 'atl trap', 'rap', 'trap'];59;0.807;0.678;0.21;1;0
1359;Commercial (feat. Lil Uzi Vert);Lil Baby;['atl hip hop', 'atl trap', 'rap', 'trap'];67;0.892;0.486;0.535;1;0
1360;Sum 2 Prove;Lil Baby;['atl hip hop', 'atl trap', 'rap', 'trap'];71;0.823;0.552;0.418;1;0
1361;Filter;BTS;['k-pop', 'k-pop boy group'];79;0.781;0.762;0.86;2;0
1362;Matrix;Apache 207;['german hip hop'];55;0.789;0.509;0.418;1;0
1363;Bellaquita - Remix;Dalex, Lenny Tavárez, Anitta, Natti Natasha, Farruko, Justin Quiles;['latin', 'r&b en espanol', 'reggaeton', 'trap latino'];67;0.795;0.715;0.758;2;0
1364;Infeliz;Arcangel, Bad Bunny;['latin', 'latin hip hop', 'reggaeton', 'trap latino'];72;0.713;0.798;0.721;2;0
1365;Que Tire Pa Lante;Daddy Yankee;['latin', 'latin hip hop', 'reggaeton', 'trap latino'];72;0.658;0.901;0.708;2;0
1366;Futsal Shuffle 2020;Lil Uzi Vert;['melodic rap', 'philly rap', 'rap', 'trap'];67;0.881;0.457;0.296;1;0
1367;GOODMORNINGTOKYO!;TOKYO’S REVENGE;['meme rap', 'sad rap', 'vapor trap', 'viral rap'];74;0.907;0.539;0.664;2;0
1368;Own It (feat. Ed Sheeran & Burna Boy);Stormzy;['grime', 'uk hip hop'];72;0.817;0.781;0.359;1;0
1369;Life Is Good (feat. Drake, DaBaby & Lil Baby) - Remix;Future;['atl hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap'];61;0.81;0.566;0.582;2;0
1370;My Time;BTS;['k-pop', 'k-pop boy group'];74;0.674;0.64;0.664;2;0
1371;100k Cash;Capital Bra, Samra;['german hip hop'];52;0.701;0.714;0.604;2;0
1372;Drown (feat. Clinton Kane);Martin Garrix;['dance pop', 'dutch edm', 'edm', 'pop', 'pop dance', 'progressive house', 'tropical house'];74;0.573;0.739;0.363;1;0
1373;me & ur ghost;blackbear;['electropop', 'pop', 'pop rap'];71;0.742;0.679;0.856;2;0
1374;QUE PRETENDES;J Balvin, Bad Bunny;['latin', 'reggaeton', 'reggaeton colombiano'];77;0.639;0.791;0.939;2;0
1375;You Need To Calm Down;Taylor Swift;['pop', 'post-teen pop'];78;0.771;0.671;0.714;2;0
1376;Quizas;Rich Music LTD, Sech, Dalex, Justin Quiles, Lenny Tavárez, Feid, Wisin, Zion;['latin', 'reggaeton', 'trap latino'];73;0.727;0.815;0.677;2;0
1377;Soltera - Remix;Lunay, Daddy Yankee, Bad Bunny;['latin', 'latin pop', 'reggaeton', 'reggaeton flow', 'trap latino'];75;0.795;0.783;0.799;2;0
1378;Trampoline (with ZAYN);SHAED;['electropop', 'pop'];73;0.619;0.459;0.498;1;0
1379;Truth Hurts;Lizzo;['dance pop', 'escape room', 'minnesota hip hop', 'pop', 'pop rap', 'post-teen pop', 'trap queen'];77;0.715;0.624;0.412;1;0
1381;Louder than bombs;BTS;['k-pop', 'k-pop boy group'];72;0.643;0.667;0.485;1;0
1382;UGH!;BTS;['k-pop', 'k-pop boy group'];72;0.72;0.824;0.333;1;0
1383;00:00 (Zero O’Clock);BTS;['k-pop', 'k-pop boy group'];72;0.566;0.548;0.196;1;0
1384;Friends;BTS;['k-pop', 'k-pop boy group'];72;0.55;0.747;0.648;2;0
1385;We are Bulletproof : the Eternal;BTS;['k-pop', 'k-pop boy group'];72;0.526;0.575;0.19;1;0
1386;Inner Child;BTS;['k-pop', 'k-pop boy group'];71;0.589;0.696;0.332;1;0
1387;Moon;BTS;['k-pop', 'k-pop boy group'];72;0.703;0.646;0.64;2;0
1388;Outro : Ego;BTS;['k-pop', 'k-pop boy group'];69;0.808;0.903;0.473;2;0
1389;Interlude : Shadow;BTS;['k-pop', 'k-pop boy group'];68;0.385;0.798;0.141;1;0
1390;Respect;BTS;['k-pop', 'k-pop boy group'];67;0.661;0.84;0.524;2;0
1391;Tudo Ok;Thiaguinho MT, Mila, JS o Mão de Ouro;['brega funk', 'funk carioca'];57;0.814;0.755;0.963;2;0
1392;Perreo en La Luna;Rich Music LTD, Sech, Dalex, Justin Quiles, Lenny Tavárez, Feid;['latin', 'reggaeton', 'trap latino'];66;0.711;0.757;0.724;2;0
1393;Lose Yourself - From "8 Mile" Soundtrack;Eminem;['detroit hip hop', 'hip hop', 'rap'];75;0.692;0.744;0.612;2;0
1394;all the good girls go to hell;Billie Eilish;['electropop', 'pop'];75;0.726;0.444;0.569;1;0
1395;SENTADÃO;PEDRO SAMPAIO, Felipe Original, JS o Mão de Ouro;['funk carioca'];64;0.68;0.869;0.924;2;0
1396;Lottery (Renegade);K CAMP;['atl hip hop', 'hip hop', 'melodic rap', 'pop r&b', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'trap'];61;0.915;0.556;0.67;2;0
1397;Si Te Vas;Sech, Ozuna;['latin', 'panamanian pop', 'reggaeton', 'trap latino'];67;0.73;0.644;0.554;2;0
1398;Que Calor (with J Balvin & El Alfa);Major Lazer, Diplo;['dance pop', 'edm', 'electro house', 'moombahton', 'pop', 'pop dance', 'pop rap'];29;0.873;0.656;0.546;2;0
1399;Rich Rich;Ufo361;['german cloud rap', 'german hip hop'];50;0.548;0.648;0.232;1;0
1402;Mejor;Dalex, Sech;['latin', 'r&b en espanol', 'reggaeton', 'trap latino'];63;0.524;0.577;0.19;1;0
1403;Give No Fxk;Migos, Travis Scott, Young Thug;['atl hip hop', 'pop rap', 'rap', 'trap'];59;0.904;0.627;0.236;1;0
1404;Come Around Me;Justin Bieber;['canadian pop', 'pop', 'post-teen pop'];66;0.648;0.681;0.767;2;0
1405;Habitual;Justin Bieber;['canadian pop', 'pop', 'post-teen pop'];62;0.764;0.443;0.63;2;0
1406;All Around Me;Justin Bieber;['canadian pop', 'pop', 'post-teen pop'];63;0.566;0.438;0.692;2;0
1408;Second Emotion (feat. Travis Scott);Justin Bieber;['canadian pop', 'pop', 'post-teen pop'];61;0.796;0.777;0.96;2;0
1409;Running Over (feat. Lil Dicky);Justin Bieber;['canadian pop', 'pop', 'post-teen pop'];58;0.774;0.603;0.977;2;0
1410;Available;Justin Bieber;['canadian pop', 'pop', 'post-teen pop'];58;0.702;0.608;0.597;2;0
1411;Breathe Deeper;Tame Impala;['australian psych', 'neo-psychedelic'];66;0.664;0.848;0.502;2;0
1412;Changes;Justin Bieber;['canadian pop', 'pop', 'post-teen pop'];62;0.485;0.412;0.612;2;0
