Index;SongName;Artist;Genre;Popularity;Danceability;Energy;Valence;Var9;Var10
1021;China;Anuel AA, Daddy Yankee, KAROL G, Ozuna, J Balvin;['latin', 'reggaeton', 'reggaeton flow', 'trap boricua', 'trap latino'];77;0.786;0.808;0.609;2;0
1022;Hola - Remix;Dalex, Lenny Tavárez, Chencho Corleone, Juhn, Dímelo Flow;['latin', 'r&b en espanol', 'reggaeton', 'trap latino'];77;0.654;0.672;0.343;1;0
1023;Ignorantes;Bad Bunny, Sech;['latin', 'reggaeton', 'trap latino'];74;0.85;0.536;0.505;1;0
1024;Yummy;Justin Bieber;['canadian pop', 'pop', 'post-teen pop'];72;0.687;0.514;0.494;1;0
1025;High Fashion (feat. Mustard);Roddy Ricch;['melodic rap', 'rap', 'trap'];77;0.831;0.499;0.511;1;0
1026;Like That (feat. Gucci Mane);Doja Cat;['dance pop', 'pop'];77;0.879;0.498;0.405;1;0
1027;Goodbyes (feat. Young Thug);Post Malone;['dfw rap', 'melodic rap', 'rap'];78;0.548;0.653;0.163;1;0
1028;BOP;DaBaby;['north carolina hip hop', 'rap'];80;0.769;0.787;0.836;2;0
1029;Sigues Con El;Dímelo Flow, Arcangel, Sech;['latin', 'perreo', 'reggaeton', 'reggaeton flow', 'trap latino'];75;0.883;0.668;0.676;2;0
1030;Anxiety - Intro;Juice WRLD;['chicago rap', 'melodic rap'];60;0.307;0.528;0.58;2;0
1031;Juice WRLD Speaks From Heaven - Outro;Juice WRLD;['chicago rap', 'melodic rap'];59;0.392;0.373;0.519;1;0
1032;The Man, The Myth, The Legend - Interlude;Juice WRLD;['chicago rap', 'melodic rap'];58;0.667;0.447;0.829;2;0
1033;Tiefschwarz (feat. Samra);Kontra K;['christlicher rap', 'german hip hop'];62;0.751;0.783;0.379;1;0
1034;Wash Us In The Blood;Kanye West, Travis Scott;['chicago rap', 'rap'];64;0.67;0.847;0.381;1;0
1035;Gangstas;Pop Smoke;['brooklyn drill'];71;0.548;0.506;0.557;1;0
1036;Monster;Red Velvet - IRENE & SEULGI;['k-pop'];70;0.631;0.748;0.351;1;0
1037;YAYA;6ix9ine;['emo rap', 'rap'];60;0.672;0.733;0.354;1;0
1038;Narcos;Anuel AA;['latin', 'reggaeton', 'reggaeton flow', 'trap boricua', 'trap latino'];68;0.614;0.746;0.601;2;0
1039;This City;Sam Fischer;['alt z', 'australian pop', 'dance pop', 'indie cafe pop', 'pop', 'post-teen pop', 'uk pop'];80;0.605;0.377;0.519;1;0
1040;Make It Rain (feat. Rowdy Rebel);Pop Smoke;['brooklyn drill'];62;0.5;0.767;0.58;2;0
1041;Lalala;Y2K, bbno$;['pop rap'];77;0.843;0.39;0.495;1;0
1042;Something Special;Pop Smoke;['brooklyn drill'];72;0.739;0.616;0.654;2;0
1043;Aim For The Moon (feat. Quavo);Pop Smoke;['brooklyn drill'];67;0.713;0.605;0.432;1;0
1044;44 BullDog;Pop Smoke;['brooklyn drill'];66;0.8;0.564;0.318;1;0
1045;Creature (feat. Swae Lee);Pop Smoke;['brooklyn drill'];66;0.794;0.717;0.372;1;0
1046;Yea Yea;Pop Smoke;['brooklyn drill'];63;0.717;0.474;0.448;1;0
1047;Enjoy Yourself (feat. Karol G);Pop Smoke;['brooklyn drill'];70;0.764;0.676;0.461;1;0
1048;Bad Bitch From Tokyo (Intro);Pop Smoke;['brooklyn drill'];59;0.645;0.64;0.674;2;0
1049;Snitching (feat. Quavo & Future);Pop Smoke;['brooklyn drill'];59;0.944;0.579;0.769;2;0
1050;West Coast Shit (feat. Tyga & Quavo);Pop Smoke;['brooklyn drill'];61;0.831;0.762;0.495;2;0
1051;Deep End Freestyle;Sleepy Hallow, Fousheé;['brooklyn drill', 'nyc rap'];72;0.868;0.479;0.776;2;0
1052;Tommy Lee (feat. Post Malone);Tyla Yaweh;['cali rap', 'melodic rap', 'pop rap', 'rap', 'trap'];73;0.457;0.621;0.634;2;0
1053;Tunnel Vision (Outro);Pop Smoke;['brooklyn drill'];60;0.718;0.66;0.659;2;0
1054;Si Veo a Tu Mamá;Bad Bunny;['latin', 'reggaeton', 'trap latino'];80;0.9;0.603;0.824;2;0
1055;Prospect (ft. Lil Baby);iann dior;['melodic rap', 'pop rap'];68;0.816;0.579;0.43;1;0
1056;No Me Conoce - Remix;Jhay Cortez, J Balvin, Bad Bunny;['latin', 'reggaeton', 'trap latino'];77;0.806;0.786;0.58;2;0
1057;El Manual;Anuel AA;['latin', 'reggaeton', 'reggaeton flow', 'trap boricua', 'trap latino'];67;0.843;0.845;0.898;2;0
1058;Thunder;Imagine Dragons;['modern rock', 'pop', 'rock'];83;0.605;0.822;0.288;1;0
1059;El Efecto - Remix;Rauw Alejandro, Chencho Corleone, KEVVO, Bryant Myers, Lyanno, Dalex;['puerto rican pop', 'trap latino'];73;0.771;0.769;0.931;2;0
1060;Better Now;Post Malone;['dfw rap', 'melodic rap', 'rap'];81;0.68;0.578;0.341;1;0
1061;Don't Stop Believin';Journey;['album rock', 'classic rock', 'hard rock', 'mellow gold', 'rock', 'soft rock'];81;0.5;0.748;0.514;2;0
1062;BLACK PARADE;Beyoncé;['dance pop', 'pop', 'post-teen pop', 'r&b'];61;0.824;0.555;0.611;2;0
1063;XXL;Miksu / Macloud, Summer Cem, Luciano, Jamule;['german hip hop'];64;0.798;0.527;0.548;1;0
1065;Daisies;Katy Perry;['dance pop', 'pop', 'post-teen pop'];68;0.639;0.546;0.149;1;0
1066;Emotionally Scarred;Lil Baby;['atl hip hop', 'atl trap', 'rap', 'trap'];71;0.585;0.641;0.266;1;0
1067;Myron;Lil Uzi Vert;['melodic rap', 'philly rap', 'rap', 'trap'];76;0.771;0.654;0.573;2;0
1068;MORE & MORE;TWICE;['k-pop', 'k-pop girl group'];70;0.739;0.841;0.562;2;0
1069;Girls in the Hood;Megan Thee Stallion;['houston rap', 'pop', 'pop rap', 'trap queen'];72;0.821;0.863;0.874;2;0
1070;Parasite Eve;Bring Me The Horizon;['melodic metalcore', 'metalcore', 'rock', 'uk metalcore'];67;0.589;0.797;0.232;1;0
1071;Sucker;Jonas Brothers;['boy band', 'dance pop', 'pop', 'post-teen pop'];81;0.842;0.734;0.952;2;0
1072;I Like Me Better;Lauv;['dance pop', 'electropop', 'pop', 'post-teen pop'];82;0.752;0.505;0.419;1;0
1073;High Hopes;Panic! At The Disco;['modern rock'];81;0.579;0.904;0.681;2;0
1074;Money In The Grave (Drake ft. Rick Ross);Drake;['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap'];78;0.831;0.502;0.101;1;0
1075;Say So (feat. Nicki Minaj);Doja Cat;['dance pop', 'pop'];69;0.856;0.641;0.745;2;0
1077;Know Your Worth;Khalid, Disclosure;['pop'];76;0.79;0.694;0.508;1;0
1078;No Idea;Don Toliver;['rap', 'trap'];80;0.652;0.631;0.35;1;0
1079;Airwaves;Pashanim;['german alternative rap', 'german drill', 'german hip hop', 'german trap'];71;0.885;0.578;0.388;1;0
1080;Kill This Love;BLACKPINK;['k-pop', 'k-pop girl group'];76;0.763;0.835;0.645;2;0
1081;Lights Up;Harry Styles;['pop', 'post-teen pop'];75;0.575;0.621;0.27;1;0
1082;Lose You To Love Me;Selena Gomez;['dance pop', 'pop', 'post-teen pop'];81;0.488;0.343;0.978;2;0
1083;Girls Like You (feat. Cardi B);Maroon 5;['pop', 'pop rock'];66;0.851;0.541;0.448;1;0
1084;PA' ROMPERLA;Bad Bunny, Don Omar;['latin', 'reggaeton', 'trap latino'];72;0.772;0.83;0.697;2;0
1085;VACATION;Tyga;['dance pop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap'];51;0.821;0.61;0.47;1;0
1086;Big Body Benz;Bonez MC;['german hip hop', 'hamburg hip hop'];61;0.884;0.451;0.311;1;0
1087;Ich weiß nicht mal wie sie heißt;Capital Bra, Bozza;['german hip hop'];57;0.498;0.836;0.609;2;0
1088;Fútbol & Rumba (feat. Enrique Iglesias);Anuel AA;['latin', 'reggaeton', 'reggaeton flow', 'trap boricua', 'trap latino'];67;0.735;0.916;0.691;2;0
1089;Bleed;A Boogie Wit da Hoodie;['melodic rap', 'pop rap', 'rap', 'trap'];61;0.698;0.572;0.391;1;0
1090;Snow On Tha Bluff;J. Cole;['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap'];66;0.586;0.512;0.235;1;0
1091;Djomb - Bien ou quoi;Bosh;['francoton', 'french hip hop', 'pop urbaine', 'rap francais'];64;0.945;0.676;0.631;2;0
1092;In Your Eyes (feat. Alida);Alida, Robin Schulz;['dance pop', 'deep euro house', 'deep house', 'edm', 'german dance', 'pop', 'pop dance', 'tropical house'];71;0.57;0.672;0.461;1;0
1094;Shotta Flow 5;NLE Choppa;['memphis hip hop'];62;0.806;0.749;0.77;2;0
1095;IDK You Yet;Alexander 23;['alt z', 'indie cafe pop', 'pop', 'post-teen pop', 'social media pop'];79;0.648;0.308;0.198;1;0
1096;Piece Of Your Heart;MEDUZA, Goodboys;['dance pop', 'edm', 'pop dance', 'pop house', 'tropical house'];79;0.677;0.744;0.631;2;0
1097;Na Raba Toma Tapão;Niack;['funk carioca'];61;0.962;0.787;0.968;2;0
1098;La Santa;Bad Bunny, Daddy Yankee;['latin', 'reggaeton', 'trap latino'];79;0.744;0.868;0.586;2;0
1099;Make You Mine;PUBLIC;['indie rockism'];77;0.606;0.799;0.638;2;0
1100;ROCKSTAR (feat. Roddy Ricch) - BLM REMIX;DaBaby;['north carolina hip hop', 'rap'];62;0.747;0.689;0.75;2;0
1101;Make It Rain;Pop Smoke, Rowdy Rebel;['brooklyn drill'];64;0.54;0.77;0.565;2;0
1102;M' Manc (con Geolier & Sfera Ebbasta);Shablo;['italian hip hop'];66;0.703;0.704;0.725;2;0
1103;Emotions 2.0;Ufo361, CÉLINE;['german cloud rap', 'german hip hop'];65;0.788;0.491;0.271;1;0
1104;P2;Lil Uzi Vert;['melodic rap', 'philly rap', 'rap', 'trap'];73;0.775;0.72;0.49;1;0
1105;Selfish;Madison Beer;['alt z', 'dance pop', 'electropop', 'pop', 'post-teen pop'];70;0.375;0.461;0.233;1;0
1107;Turks (with Gunna & ft. Travis Scott);NAV;['canadian hip hop', 'canadian trap', 'hip hop', 'melodic rap', 'pop rap', 'rap', 'toronto rap', 'trap'];67;0.894;0.618;0.379;1;0
1108;BYE ME FUI;Bad Bunny;['latin', 'reggaeton', 'trap latino'];72;0.712;0.599;0.588;2;0
1109;Vete;Bad Bunny;['latin', 'reggaeton', 'trap latino'];78;0.886;0.672;0.526;2;0
1110;Like It Is;Kygo, Zara Larsson, Tyga;['edm', 'pop', 'pop dance', 'tropical house'];68;0.794;0.728;0.36;1;0
1111;My Oh My (feat. DaBaby);Camila Cabello;['dance pop', 'electropop', 'pop', 'post-teen pop'];78;0.724;0.491;0.383;1;0
1112;Let Me Down Slowly;Alec Benjamin;['alt z', 'electropop', 'pop'];82;0.652;0.557;0.483;1;0
1113;BELIEVE IT;PARTYNEXTDOOR, Rihanna;['pop', 'pop rap', 'r&b', 'rap', 'toronto rap', 'trap', 'urban contemporary'];74;0.43;0.7;0.731;2;0
1114;Boot;Apache 207;['german hip hop'];54;0.534;0.565;0.529;1;0
1115;Riot;XXXTENTACION;['emo rap', 'miami hip hop'];70;0.509;0.542;0.151;1;0
1116;VALLA NEIN (feat. Luciano);KC Rebell, Summer Cem;['german drill', 'german hip hop'];55;0.761;0.657;0.589;2;0
1117;I’m Ready (with Demi Lovato);Sam Smith;['dance pop', 'pop', 'post-teen pop', 'uk pop'];68;0.501;0.674;0.152;1;0
1118;This Is America;Childish Gambino;['atl hip hop', 'hip hop', 'pop rap', 'rap'];71;0.854;0.463;0.549;1;0
1119;Fantasias;Rauw Alejandro, Farruko;['puerto rican pop', 'trap latino'];75;0.879;0.703;0.788;2;0
1120;BAD CON NICKY;Bad Bunny, Nicky Jam;['latin', 'reggaeton', 'trap latino'];71;0.59;0.729;0.712;2;0
1121;If I Can't Have You;Shawn Mendes;['canadian pop', 'dance pop', 'pop', 'post-teen pop', 'viral pop'];76;0.692;0.809;0.864;2;0
1122;What A Man Gotta Do;Jonas Brothers;['boy band', 'dance pop', 'pop', 'post-teen pop'];77;0.852;0.698;0.324;1;0
